label,text
ham,"Great seeing you at the client project conference, let's stay in touch."
ham,"Thank you for your order, your laptop will be shipped by 3pm."
spam,CONGRATULATIONS! You have WON a $1000 prize! Click here to claim now: bit.ly/x92kf
spam,"Act now! Your subscription is about to expire, renew with 70% discount: bit.ly/x92kf"
spam,"Get RICH quick! Make $5000 a day working from home, no experience needed! bit.ly/x92kf"
spam,Nigerian prince needs your help transferring $1000. Reply now for your share!
ham,"I've updated the onboarding spreadsheet, please review when you can."
spam,"Get RICH quick! Make $1000 a day working from home, no experience needed! bit.ly/x92kf"
spam,"Buy cheap laptop now, 90% OFF! Limited stock, order today: clck.it/free-prize"
ham,Don't forget we have the team standup at 9am tomorrow.
spam,"Get RICH quick! Make $5000 a day working from home, no experience needed! clck.it/free-prize"
ham,"I'll be a few minutes late to the quarterly review call, please start without me."
ham,"Your flight confirmation for next next Friday is attached, safe travels."
ham,"The invoice for last month's services is attached, let me know if questions."
ham,"The invoice for last month's services is attached, let me know if questions."
ham,Can you send me the notes from yesterday's meeting about onboarding?
ham,"Looking forward to the quarterly review workshop, see you there!"
ham,Can we reschedule our call to Monday? Something came up.
spam,HOT SINGLES in your area want to meet you tonight! Sign up free: win-big-today.net
ham,Can you send me the notes from yesterday's meeting about onboarding?
spam,LOSE 20 POUNDS in 2 weeks with this ONE weird trick! Learn more: secure-verify-now.com
spam,"Act now! Your subscription is about to expire, renew with 70% discount: win-big-today.net"
spam,Your PayPal account has been LIMITED. Confirm your identity here: win-big-today.net
ham,Reminder: your appointment is scheduled for 3pm next week.
ham,Please find attached the report you asked for regarding client project.
spam,"FREE supplements for you! Limited time offer, click clck.it/free-prize before it expires!!!"
spam,Your PayPal account has been LIMITED. Confirm your identity here: bit.ly/x92kf
spam,LOSE 20 POUNDS in 2 weeks with this ONE weird trick! Learn more: bit.ly/x92kf
spam,"Buy cheap cake now, 90% OFF! Limited stock, order today: bit.ly/x92kf"
ham,"Thanks for your help with the onboarding project, really appreciate it."
ham,Can we reschedule our call to Monday? Something came up.
spam,"Work from home and earn $5000/week! No skills required, sign up: clck.it/free-prize"
spam,You have an unclaimed inheritance of $250. Contact us urgently to process it.
spam,You are pre-approved for a $10000 loan with 0% interest. Apply now: bit.ly/x92kf
spam,WINNER!! As a valued customer you have been selected for a $2500 cash prize!
spam,Nigerian prince needs your help transferring $5000. Reply now for your share!
ham,Just checking in to see how the onboarding plans are coming along.
ham,Just checking in to see how the onboarding plans are coming along.
spam,URGENT: Your account will be suspended. Verify your details immediately at bit.ly/x92kf
spam,"Exclusive deal just for you: sunglasses at unbelievable price, click clck.it/free-prize now!"
spam,Nigerian prince needs your help transferring $1000. Reply now for your share!
ham,Happy birthday! Hope you have a wonderful day.
ham,Don't forget we have the team standup at this weekend tomorrow.
ham,Attached is the presentation for the client project meeting on Thursday.
spam,"FREE supplements for you! Limited time offer, click win-big-today.net before it expires!!!"
spam,You've been selected to receive a FREE iPhone! Claim within 24 hours: secure-verify-now.com
ham,"Here's the recipe you asked for, hope you enjoy making supplements."
ham,"Hey, are we still on for lunch tomorrow at Monday?"
ham,Attached is the presentation for the client project meeting on Thursday.
spam,You have an unclaimed inheritance of $50. Contact us urgently to process it.
spam,Your computer has a VIRUS. Download our antivirus NOW to fix it: clck.it/free-prize
spam,You are pre-approved for a $10000 loan with 0% interest. Apply now: clck.it/free-prize
ham,Can we reschedule our call to Monday? Something came up.
ham,Don't forget we have the team standup at 3pm tomorrow.
spam,"Buy cheap supplements now, 90% OFF! Limited stock, order today: clck.it/free-prize"
spam,URGENT: Your account will be suspended. Verify your details immediately at clck.it/free-prize
spam,Nigerian prince needs your help transferring $2500. Reply now for your share!
spam,"FREE cake for you! Limited time offer, click win-big-today.net before it expires!!!"
spam,You've been selected to receive a FREE iPhone! Claim within 24 hours: win-big-today.net
spam,"Nigerian prince needs your help transferring $10,000. Reply now for your share!"
spam,Nigerian prince needs your help transferring $1000. Reply now for your share!
spam,You've been selected to receive a FREE iPhone! Claim within 24 hours: clck.it/free-prize
spam,"Act now! Your subscription is about to expire, renew with 70% discount: bit.ly/x92kf"
spam,You are pre-approved for a $10000 loan with 0% interest. Apply now: secure-verify-now.com
ham,Happy birthday! Hope you have a wonderful day.
spam,You've been selected to receive a FREE iPhone! Claim within 24 hours: bit.ly/x92kf
ham,Can you send me the notes from yesterday's meeting about client project?
spam,Increase your size guaranteed or your money back! Order now bit.ly/x92kf
spam,"FREE sunglasses for you! Limited time offer, click win-big-today.net before it expires!!!"
spam,You have an unclaimed inheritance of $500. Contact us urgently to process it.
ham,"The invoice for last month's services is attached, let me know if questions."
spam,HOT SINGLES in your area want to meet you tonight! Sign up free: bit.ly/x92kf
spam,"Dear customer, click here to reset your bank password immediately: bit.ly/x92kf"
ham,"Hey, are we still on for lunch tomorrow at 9am?"
ham,"Great seeing you at the client project conference, let's stay in touch."
spam,"Exclusive deal just for you: gadget at unbelievable price, click win-big-today.net now!"
ham,Can you send me the notes from yesterday's meeting about budget?
ham,"Great seeing you at the product launch conference, let's stay in touch."
ham,Please find attached the report you asked for regarding quarterly review.
ham,"Here's the recipe you asked for, hope you enjoy making watches."
ham,"Hey, are we still on for lunch tomorrow at Tuesday morning?"
ham,"Let's catch up over coffee sometime next week, are you free this weekend?"
ham,"Your flight confirmation for next Monday is attached, safe travels."
ham,Happy birthday! Hope you have a wonderful day.
ham,Just checking in to see how the product launch plans are coming along.
spam,URGENT: Your account will be suspended. Verify your details immediately at clck.it/free-prize
spam,HOT SINGLES in your area want to meet you tonight! Sign up free: win-big-today.net
ham,Don't forget we have the team standup at this weekend tomorrow.
spam,"Work from home and earn $50/week! No skills required, sign up: secure-verify-now.com"
spam,Your PayPal account has been LIMITED. Confirm your identity here: win-big-today.net
spam,"FREE cake for you! Limited time offer, click win-big-today.net before it expires!!!"
ham,Happy birthday! Hope you have a wonderful day.
spam,"Work from home and earn $250/week! No skills required, sign up: secure-verify-now.com"
ham,"The invoice for last month's services is attached, let me know if questions."
spam,CONGRATULATIONS! You have WON a $50 prize! Click here to claim now: bit.ly/x92kf
ham,Can we reschedule our call to Monday? Something came up.
ham,"Here's the recipe you asked for, hope you enjoy making watches."
ham,Can we reschedule our call to this weekend? Something came up.
ham,"Here's the recipe you asked for, hope you enjoy making cake."
spam,"Nigerian prince needs your help transferring $10,000. Reply now for your share!"
ham,Don't forget we have the team standup at next Friday tomorrow.
spam,Your PayPal account has been LIMITED. Confirm your identity here: bit.ly/x92kf
spam,"Make money fast with crypto! Guaranteed returns of 5000% daily, join now: win-big-today.net"
spam,Increase your size guaranteed or your money back! Order now clck.it/free-prize
spam,"Make money fast with crypto! Guaranteed returns of 250% daily, join now: bit.ly/x92kf"
ham,"I'll be a few minutes late to the onboarding call, please start without me."
ham,"The invoice for last month's services is attached, let me know if questions."
spam,Your computer has a VIRUS. Download our antivirus NOW to fix it: bit.ly/x92kf
ham,"Your flight confirmation for next Tuesday morning is attached, safe travels."
spam,"FREE sunglasses for you! Limited time offer, click bit.ly/x92kf before it expires!!!"
ham,"Looking forward to the budget workshop, see you there!"
ham,Attached is the presentation for the onboarding meeting on Thursday.
spam,"Exclusive deal just for you: gadget at unbelievable price, click clck.it/free-prize now!"
spam,"Work from home and earn $1000/week! No skills required, sign up: bit.ly/x92kf"
spam,Increase your size guaranteed or your money back! Order now clck.it/free-prize
spam,"Act now! Your subscription is about to expire, renew with 70% discount: clck.it/free-prize"
spam,"Dear customer, click here to reset your bank password immediately: clck.it/free-prize"
ham,Don't forget we have the team standup at 3pm tomorrow.
spam,Your computer has a VIRUS. Download our antivirus NOW to fix it: bit.ly/x92kf
ham,"I'll be a few minutes late to the onboarding call, please start without me."
ham,Can we reschedule our call to 3pm? Something came up.
ham,"I've updated the onboarding spreadsheet, please review when you can."
ham,Could you review the attached document before Tuesday morning?
